DATE,USD3MTD156N
2015-04-07,0.27375
2015-04-08,0.2712
2015-04-09,0.2759
2015-04-10,0.277
2015-04-13,0.2753
2015-04-14,0.27555
2015-04-15,0.27435
2015-04-16,0.2751
2015-04-17,0.27575
2015-04-20,0.276
2015-04-21,0.27725
2015-04-22,0.2775
2015-04-23,0.277
2015-04-24,0.279
2015-04-27,0.279
2015-04-28,0.27815
2015-04-29,0.27815
2015-04-30,0.27875
2015-05-01,0.27975
2015-05-04,.
2015-05-05,0.2759
2015-05-06,0.276
2015-05-07,0.27885
2015-05-08,0.27985
2015-05-11,0.2766
2015-05-12,0.275
2015-05-13,0.2739
2015-05-14,0.276
2015-05-15,0.2765
2015-05-18,0.276
2015-05-19,0.281
2015-05-20,0.2835
2015-05-21,0.282
2015-05-22,0.2845
2015-05-25,.
2015-05-26,0.28585
2015-05-27,0.2835
2015-05-28,0.28275
2015-05-29,0.28375
2015-06-01,0.2825
2015-06-02,0.2787
2015-06-03,0.2792
2015-06-04,0.2789
2015-06-05,0.2812
2015-06-08,0.2822
2015-06-09,0.2855
2015-06-10,0.28785
2015-06-11,0.28585
2015-06-12,0.28605
2015-06-15,0.28325
2015-06-16,0.28625
2015-06-17,0.2857
2015-06-18,0.2808
2015-06-19,0.2813
2015-06-22,0.28225
2015-06-23,0.28075
2015-06-24,0.28075
2015-06-25,0.282
2015-06-26,0.28175
2015-06-29,0.2837
2015-06-30,0.2832
2015-07-01,0.2836
2015-07-02,0.2835
2015-07-03,0.2843
2015-07-06,0.28425
2015-07-07,0.28325
2015-07-08,0.28345
2015-07-09,0.286
2015-07-10,0.2858
2015-07-13,0.2888
2015-07-14,0.2885
2015-07-15,0.2885
2015-07-16,0.287
2015-07-17,0.29175
2015-07-20,0.295
2015-07-21,0.2941
2015-07-22,0.2925
2015-07-23,0.2951
2015-07-24,0.2936
2015-07-27,0.2941
2015-07-28,0.2968
2015-07-29,0.2968
2015-07-30,0.3001
2015-07-31,0.3086
2015-08-03,0.3037
2015-08-04,0.3011
2015-08-05,0.3109
2015-08-06,0.3114
2015-08-07,0.3116
2015-08-10,0.3142
2015-08-11,0.31435
2015-08-12,0.3093
2015-08-13,0.3205
2015-08-14,0.32445
2015-08-17,0.33285
2015-08-18,0.33285
2015-08-19,0.33335
2015-08-20,0.3291
2015-08-21,0.3291
2015-08-24,0.3316
2015-08-25,0.327
2015-08-26,0.3252
2015-08-27,0.3244
2015-08-28,0.329
2015-08-31,.
2015-09-01,0.334
2015-09-02,0.3325
2015-09-03,0.3335
2015-09-04,0.332
2015-09-07,0.333
2015-09-08,0.332
2015-09-09,0.333
2015-09-10,0.336
2015-09-11,0.3372
2015-09-14,0.3355
2015-09-15,0.33425
2015-09-16,0.3396
2015-09-17,0.3451
2015-09-18,0.3192
2015-09-21,0.326
2015-09-22,0.3265
2015-09-23,0.3255
2015-09-24,0.3264
2015-09-25,0.3261
2015-09-28,0.3266
2015-09-29,0.3255
2015-09-30,0.325
2015-10-01,0.324
2015-10-02,0.3271
2015-10-05,0.3232
2015-10-06,0.318
2015-10-07,0.3186
2015-10-08,0.3196
2015-10-09,0.3206
2015-10-12,0.32075
2015-10-13,0.3205
2015-10-14,0.31705
2015-10-15,0.31515
2015-10-16,0.31715
2015-10-19,0.31665
2015-10-20,0.3204
2015-10-21,0.3164
2015-10-22,0.3199
2015-10-23,0.3229
2015-10-26,0.32315
2015-10-27,0.3239
2015-10-28,0.3219
2015-10-29,0.3289
2015-10-30,0.3341
2015-11-02,0.3341
2015-11-03,0.3336
2015-11-04,0.3366
2015-11-05,0.3439
2015-11-06,0.3414
2015-11-09,0.3556
2015-11-10,0.3561
2015-11-11,0.3591
2015-11-12,0.3616
2015-11-13,0.3636
2015-11-16,0.3641
2015-11-17,0.3671
2015-11-18,0.3696
2015-11-19,0.3776
2015-11-20,0.3821
2015-11-23,0.3932
2015-11-24,0.4023
2015-11-25,0.4067
2015-11-26,0.4117
2015-11-27,0.4142
2015-11-30,0.4162
2015-12-01,0.4222
2015-12-02,0.436
2015-12-03,0.452
2015-12-04,0.462
2015-12-07,0.477
2015-12-08,0.4865
2015-12-09,0.492
2015-12-10,0.502
2015-12-11,0.512
2015-12-14,0.51775
2015-12-15,0.52575
2015-12-16,0.5325
2015-12-17,0.5695
2015-12-18,0.5855
2015-12-21,0.5931
2015-12-22,0.59435
2015-12-23,0.6031
2015-12-24,0.6031
2015-12-25,.
2015-12-28,.
2015-12-29,0.6067
2015-12-30,0.6122
2015-12-31,0.6127
2016-01-01,.
2016-01-04,0.6117
2016-01-05,0.6171
2016-01-06,0.6201
2016-01-07,0.61685
2016-01-08,0.6211
2016-01-11,0.6221
2016-01-12,0.6236
2016-01-13,0.622
2016-01-14,0.6211
2016-01-15,0.6196
2016-01-18,0.6238
2016-01-19,0.6243
2016-01-20,0.6213
2016-01-21,0.6186
2016-01-22,0.6191
2016-01-25,0.6213
2016-01-26,0.6211
2016-01-27,0.6181
2016-01-28,0.6156
2016-01-29,0.6126
2016-02-01,0.6186
2016-02-02,0.6192
2016-02-03,0.6206
2016-02-04,0.6202
2016-02-05,0.6197
2016-02-08,0.621
2016-02-09,0.6205
2016-02-10,0.6176
2016-02-11,0.6172
2016-02-12,0.6182
2016-02-15,0.6182
2016-02-16,0.6182
2016-02-17,0.6194
2016-02-18,0.6182
2016-02-19,0.6182
2016-02-22,0.6246
2016-02-23,0.6291
2016-02-24,0.6346
2016-02-25,0.6356
2016-02-26,0.6351
2016-02-29,0.6331
2016-03-01,0.6316
2016-03-02,0.63485
2016-03-03,0.6356
2016-03-04,0.6335
2016-03-07,0.6361
2016-03-08,0.63515
2016-03-09,0.6346
2016-03-10,0.63235
2016-03-11,0.63385
2016-03-14,0.63955
2016-03-15,0.64195
2016-03-16,0.639
2016-03-17,0.6234
2016-03-18,0.6243
2016-03-21,0.6246
2016-03-22,0.62835
2016-03-23,0.6301
2016-03-24,0.6286
2016-03-25,.
2016-03-28,.
2016-03-29,0.63085
2016-03-30,0.6251
2016-03-31,0.6286
2016-04-01,0.6291
2016-04-04,0.6301
2016-04-05,0.6266
2016-04-06,0.6306
2016-04-07,0.6288
2016-04-08,0.6308
2016-04-11,0.62985
2016-04-12,0.6296
2016-04-13,0.62835
2016-04-14,0.63285
2016-04-15,0.6331
2016-04-18,0.63435
2016-04-19,0.63485
2016-04-20,0.6351
2016-04-21,0.6381
2016-04-22,0.63585
2016-04-25,0.63385
2016-04-26,0.63435
2016-04-27,0.63835
2016-04-28,0.6366
2016-04-29,0.6366
2016-05-02,.
2016-05-03,0.6329
2016-05-04,0.6341
2016-05-05,0.6318
2016-05-06,0.6296
2016-05-09,0.6296
2016-05-10,0.6281
2016-05-11,0.6266
2016-05-12,0.6261
2016-05-13,0.6276
2016-05-16,0.6261
2016-05-17,0.6251
2016-05-18,0.6356
2016-05-19,0.6539
2016-05-20,0.6613
2016-05-23,0.6623
2016-05-24,0.6653
2016-05-25,0.66655
2016-05-26,0.67405
2016-05-27,0.67305
2016-05-30,.
2016-05-31,0.6858
2016-06-01,0.6813
2016-06-02,0.6801
2016-06-03,0.68215
2016-06-06,0.66065
2016-06-07,0.6566
2016-06-08,0.658
2016-06-09,0.65605
2016-06-10,0.6556
2016-06-13,0.6525
2016-06-14,0.6548
2016-06-15,0.65635
2016-06-16,0.6466
2016-06-17,0.6444
2016-06-20,0.6465
2016-06-21,0.64185
