Date,Df Mid
2017-09-08,1
2017-09-20,1.00011934
2017-09-27,1.00018897
2017-10-04,1.00025861
2017-10-13,1.00034819
2017-11-14,1.00067027
2017-12-13,1.00096056
2018-01-15,1.00128808
2018-02-13,1.0015822
2018-03-13,1.00185793
2018-04-13,1.00216863
2018-05-15,1.00249604
2018-06-13,1.00278722
2018-07-13,1.0030805
2018-08-14,1.00340192
2018-09-13,1.00370298
2018-12-13,1.00456287
2019-03-13,1.00536358
2019-06-13,1.00608284
2019-09-13,1.00669068
2020-09-15,1.00789536
2021-09-14,1.00657082
2022-09-13,1.00267715
2023-09-13,0.99580073
2024-09-13,0.98592637
2025-09-15,0.9733599
2026-09-15,0.95860662
2027-09-14,0.9425226
2029-09-13,0.90738252
2032-09-14,0.85410978
2037-09-15,0.77475131
2042-09-15,0.71192782
2047-09-13,0.65484452
2057-09-13,0.56207066
2067-09-13,0.49785861
